product_name,rating,mrp,quantity,unit,type,discount,category,key_ingredients
Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,NULL,489,NULL,NULL,NULL,0.02,Face Wash,Neem Aloe Vera Tea Tree Oil Charcoal Clay Cee
Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,NULL,489,NULL,NULL,NULL,0.02,Face Wash,Neem
Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,NULL,489,NULL,NULL,NULL,0.02,Face Wash,Turmeric Walnut Beads Licorice Extract Carrot Oil
Ubtan Face Mask With Saffron & Turmeric For Skin Brightening And Tan Removal ,NULL,489,NULL,NULL,NULL,0.02,Face Wash,Neem Aloe Vera Tea Tree Oil
Ubtan Face Scrub With Turmeric & Walnut For Tan Removal ,NULL,489,NULL,NULL,NULL,0.02,Face Wash,Charcoal Clay Cee
Ubtan Face Scrub With Turmeric & Walnut For Tan Removal ,NULL,599,30,gram,Weight,0,Face Cream,Vitamin C
Ubtan Face Scrub With Turmeric & Walnut For Tan Removal ,NULL,399,20,ml,Volumn,0,Unknown ,Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract
Ubtan Face Wash And Skin Illuminate Face Serum Combo,NULL,924,200,ml,Volumn,0.03,Hair Shampoo,Onion Oil
Ubtan Face Wash For Tan Removal,5,559,400,ml,Volumn,0,Face Wash,Onion Seed Oil
Ubtan Face Wash For Tan Removal,NULL,559,400,ml,Volumn,0,Unknown ,Onion Seed Oil Coconut
Ubtan Face Wash For Tan Removal,NULL,599,30,ml,Volumn,0,Face Cream,Hyaluronic Acid
Ubtan Facewash For Tan Removal Pack Of ,5,999,NULL,NULL,NULL,0.23,Hair Kit,Tea Tree Oil Agaan Oil
Ubtan Foaming Face Wash With Turmeric & Saffron For Tan Removal,4.5,349,250,ml,Volumn,0,Hair Shampoo,Tea Tree Oil Ginger Oil
Ubtan Hand Cream With Turmeric And Honey For Deep Moisturization,5,599,200,gram,Weight,0,Body Kit,Theobroma Cocoa Seed Butter
Ubtan Night Face Mask With Turmeric & Niacinamide For Glowing Skin ,5,599,200,gram,Weight,0,Body Kit,Turmeric Honey
Ubtan Yogurt With Turmeric And Saffron For Deep Moisturization ,NULL,999,NULL,NULL,NULL,0.26,Body Kit,Unknown
Ultra Light Indian Sunscreen With Carrot Seed Turmeric & Spf 50 Pa+++ ,NULL,499,100,ml,Volumn,0,Face Mask,Neem Oil
Ultra Light Indian Sunscreen With Carrot Seed Turmeric & Spf 50 Pa+++ ,NULL,349,80,ml,Volumn,0,Face Cream,Turmeric
Ultra Light Indian Sunscreen With Carrot Seed Turmeric & Spf 50 Pa+++ ,NULL,349,250,ml,Volumn,0,Face Cream,Onion Seed Oil
Vitamin C Bamboo Sheet Mask With Vitamin C & Honey For Skin Illumination ,5,349,250,ml,Volumn,0,Face Mask,Onion Seed Oil
Vitamin C Body Lotion With Vitamin C & Honey For Radiant Skin ,4.8,399,150,ml,Volumn,0,Hair Oil,Onion Seed Oil
Vitamin C Body Lotion With Vitamin C & Honey For Radiant Skin ,5,399,200,gram,Weight,0,Body Lotion,Magnesium Detoxifying Sulphates Lavender Oil
Vitamin C Body Lotion With Vitamin C & Honey For Radiant Skin ,5,599,200,ml,Volumn,0,Hair Oil,Onion Oil
Vitamin C Body Wash With Vitamin C & Honey For Skin Illumination ,5,349,250,ml,Volumn,0,Hair Oil,Tea Tree Oil
Vitamin C Body Wash With Vitamin C & Honey For Skin Illumination  Pack,5,999,NULL,NULL,NULL,0.28,Hair Kit,Unknown
Vitamin C Clear Skin Combo  ,NULL,449,30,ml,Volumn,0,Unknown ,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract
Vitamin C Day Regimen Combo,5,299,150,ml,Volumn,0,Body Kit,Castor Oil
Vitamin C Face Cream With Vitamin C & Spf 20 For Skin Illumination,5,679,250,ml,Volumn,0.03,Hair Shampoo,Onion Seed Oil
Vitamin C Face Cream With Vitamin C & Spf 20 For Skin Illumination,5,1299,NULL,NULL,NULL,0.27,Face Cream,Aloe Vera
Vitamin C Face Cream With Vitamin C & Spf 20 For Skin Illumination,5,399,NULL,NULL,NULL,0,Body Kit,Unknown
Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illumination ,4.8,249,150,ml,Volumn,0,Body Kit,Unknown
Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illumination ,NULL,774,80,ml,Volumn,0.03,Face Mask,Turmeric
Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illumination ,5,299,80,ml,Volumn,0,Face Mask,Apple Cider Vinegar Cetearyl Octanoate Betaine Fatty Acids
Vitamin C Face Milk With Vitamin C And Peach For Skin Illumination ,5,499,80,ml,Volumn,0,Unknown ,Carrot Seed Oil
Vitamin C Face Scrub For Glowing Skin With Vitamin C And Walnut For Skin Illumination ,NULL,724,100,ml,Volumn,0.03,Face Wash,Saffron Turmeric
Vitamin C Face Toner With Vitamin C & Cucumber For Pore Tightening ,NULL,724,100,ml,Volumn,0.03,Face Wash,Saffron Turmeric
Vitamin C Face Toner With Vitamin C & Cucumber For Pore Tightening ,5,799,100,ml,Volumn,0.06,Face Wash,Charcoal Cee Kaolin Clay
Vitamin C Face Toner With Vitamin C & Cucumber For Pore Tightening ,NULL,499,100,gram,Weight,0,Face Mask,Saffron
Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,5,679,200,ml,Volumn,0.03,Hair Shampoo,Unknown
Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,5,599,200,ml,Volumn,0,Face Wash,Tea Tree Oil
Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,4.8,599,50,ml,Volumn,0,Face Wash,Pomegranate Oil
Vitamin C Face Wash With Vitamin C And Turmeric For Skin Illumination ,5,249,100,ml,Volumn,0,Face Wash,Turmeric Walnut Beads Licorice Extract Carrot Oil
Vitamin C Foaming Face Wash With Vitamin C & Turmeric For Skin Illumination,4.8,249,100,ml,Volumn,0,Face Wash,Neem Aloe Vera Tea Tree Oil
Vitamin C Foaming Face Wash With Vitamin C & Turmeric For Skin Illumination,5,249,100,ml,Volumn,0,Face Wash,Charcoal Clay Coffee
Vitamin C Foaming Face Wash With Vitamin C & Turmeric For Skin Illumination ,4.8,1199,NULL,NULL,NULL,0.25,Hair Kit,Bhringraj Oil Biotin
Vitamin C Glowing Skin Combo,4.8,499,100,ml,Volumn,0,Unknown ,Korean Red Ginseng
Vitamin C Hand Cream With Vitamin C And Shea Butter For Intense Moisturization,NULL,399,100,ml,Volumn,0,Hair Oil,Bhringraj Oil
Vitamin C Night Regimen Combo,4.9,349,200,ml,Volumn,0,Hair Shampoo,Biotin Horse Chestnut Amla Extract
Vitamin C No Make Up Combo,NULL,349,200,ml,Volumn,0,Unknown ,Cocoa Butter Shea Butter Amla Extract
Vitamin C Overnight Skin Glow Kit,4.8,500,100,ml,Volumn,0,Body Kit,Milk Protein
Vitamin C Radiance Combo,5,500,50,ml,Volumn,0,Unknown ,Coconut Oil Shea Butter Calendula Extract
Vitamin C Skincare Regimen Kit,4.8,599,50,ml,Volumn,0,Unknown ,Cucumber Extract
Vitamin C Sleeping Mask With Aloe Vera For Skin Illumination ,4.8,599,200,ml,Volumn,0,Hair Oil,Argan Oil
Vitamin C Sleeping Mask With Aloe Vera For Skin Illumination ,5,599,100,ml,Volumn,0,Face Mask,Charcoal Coffee Kaolin Clay
Vitamin C Sleeping Mask With Aloe Vera For Skin Illumination ,NULL,598,2,Packet,Count,0,Body Wash,Turmeric
Wedding Glow Skin Rejuvenation Kit,5,149,25,gram,Weight,0,Unknown ,Vitamin C
Wedding Glow Skincare Kit,5,299,250,ml,Volumn,0,Body Lotion,Cucumber
